"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
1,MT817,9,"2025-06-10 09:07:33","2025-06-19 09:07:33","2025-06-13 09:07:33",10,155.76,Bennett-PerezHome Improvement Store,"0407 Stephen Center
New Lisa, TX 33936",South Lori,Arizona,"91197",United States
2,UQ126,4,"2025-12-02 07:43:59","2025-12-10 07:43:59","2025-12-03 07:43:59",10,498.27,Hubbard-OneillSmart Home Installer,"797 Hendricks Mountain Suite 713
Nathanshire, VA 55477",East Donaldview,Kentucky,"49506",United States
3,LC708,13,"2025-06-02 15:01:51","2025-06-12 15:01:51","2025-06-04 15:01:51",2,369.07,"Blankenship, Oneal and PerezTechnology Startup","27319 Malone Cape Suite 494
Jaredfurt, VA 90717",Cookhaven,Idaho,"13267",United States
4,VO839,14,"2024-12-29 08:34:48","2025-01-02 08:34:48","2025-01-01 08:34:48",9,31.20,"Lee, Estrada and SinghSmall Business","11306 Ruiz Hills Apt. 896
Zoefort, RI 67248",North Lisa,Tennessee,"95515",United States
5,UC855,5,"2026-04-03 10:06:20","2026-04-14 10:06:20","2026-04-07 10:06:20",4,37.16,Smith LLCInterior Design Studio,"06106 Catherine Loaf
New Michaelside, DC 74835",Jordanberg,Oklahoma,"69600",United States
6,NB002,16,"2025-12-15 14:33:50","2025-12-28 14:33:50",,7,66.51,Curry LtdRetail Company,"Unit 0989 Box 6332
DPO AP 07758",West Nicholasport,New Mexico,"08420",United States
7,GY227,8,"2025-04-26 15:01:58","2025-05-10 15:01:58","2025-04-30 15:01:58",7,376.69,Smith LLCSecurity Service Provider,"85622 Kelli Cliffs Apt. 237
East Robert, SC 28980",North Heatherchester,Colorado,"92743",United States
8,VW282,6,"2025-01-19 17:24:23","2025-01-22 17:24:23",,8,227.99,"English, Hardy and TrevinoAppliance Retailer","79636 Ruiz Ports Apt. 658
Thompsonchester, ND 71880",New Michele,North Dakota,"56528",United States
9,LT787,9,"2026-03-15 20:26:04","2026-03-27 20:26:04","2026-03-19 20:26:04",1,353.54,"Thompson, Lawrence and AndersonIT Services Company","Unit 8266 Box 6727
DPO AA 75964",Michaelview,Vermont,"23205",United States
10,TF836,19,"2025-03-03 17:57:52","2025-03-16 17:57:52","2025-03-06 17:57:52",6,402.81,Becker LtdConsumer Electronics Store,"93523 Andrew Lake
Port Carlahaven, NM 48551",South Nataliemouth,Connecticut,"34897",United States
11,UC855,16,"2025-03-26 10:11:34","2025-04-04 10:11:34","2025-03-28 10:11:34",10,244.22,Smith LLCInterior Design Studio,"06106 Catherine Loaf
New Michaelside, DC 74835",Jordanberg,Oklahoma,"69600",United States
12,UD950,3,"2024-12-18 11:09:01","2024-12-31 11:09:01",,9,487.11,"Peterson, Mccoy and RodriguezOnline Marketplace Seller","920 Austin Roads Suite 851
Belltown, SD 25437",West Whitneychester,Oregon,"53861",United States
13,XW166,13,"2025-05-22 01:03:21","2025-06-05 01:03:21","2025-05-23 01:03:21",2,240.39,"Phillips, Larson and JonesOnline Marketplace Seller","5701 Ellis Square
South Carlaborough, NV 59637",Monicafort,Colorado,"99798",United States
14,DY566,19,"2025-09-11 16:37:43","2025-09-14 16:37:43","2025-09-13 16:37:43",4,128.40,Cruz-BlairRetail Company,"PSC 5150, Box 6556
APO AA 19091",New Kenneth,Illinois,"94617",United States
15,CK028,19,"2024-08-26 02:26:14","2024-09-09 02:26:14","2024-08-27 02:26:14",9,396.33,"Hoffman, Baker and BarnesSecurity Service Provider","169 White Plains
Clarkbury, MD 51668",West Jamesmouth,Delaware,"27607",United States
16,MX294,5,"2025-11-03 03:29:17","2025-11-09 03:29:17","2025-11-07 03:29:17",3,449.32,Tyler-AllenRetail Company,"45345 Paige Neck Suite 971
Smithborough, AS 37807",Port Samantha,Minnesota,"92838",United States
17,HF081,16,"2024-07-23 21:26:29","2024-08-04 21:26:29",,2,481.91,Owens-JenkinsConsumer Electronics Store,"07354 Jill Grove Apt. 475
South Stephanie, NY 95395",West Jenniferborough,Indiana,"06862",United States
18,HF081,10,"2025-11-16 12:31:01","2025-11-19 12:31:01",,7,130.89,Owens-JenkinsConsumer Electronics Store,"07354 Jill Grove Apt. 475
South Stephanie, NY 95395",West Jenniferborough,Indiana,"06862",United States
19,PN121,8,"2025-03-08 04:53:05","2025-03-22 04:53:05","2025-03-09 04:53:05",4,429.93,Collins IncTechnology Startup,"39967 Joshua Key
Diazland, ME 74024",North Benjaminchester,North Carolina,"88718",United States
20,RG949,10,"2025-05-23 17:46:55","2025-05-26 17:46:55",,3,274.69,Lynch-WatsonSmall Business,"96936 Cummings Spur
Loristad, MS 01136",West Justinburgh,Texas,"73128",United States
21,BE531,5,"2026-02-16 16:56:44","2026-02-21 16:56:44","2026-02-17 16:56:44",3,367.48,Richardson-ThomasE-commerce Company,"081 Huff Row Apt. 442
Port Johnville, TX 73884",Thomasview,Indiana,"35397",United States
22,DV187,19,"2024-12-28 02:24:27","2024-12-31 02:24:27","2024-12-30 02:24:27",3,288.14,Garcia-MorganTechnology Startup,"921 Black Brook Apt. 600
Hernandezchester, PW 06130",Patrickville,Virginia,"18781",United States
23,DX546,13,"2025-01-23 01:10:16","2025-01-31 01:10:16","2025-01-26 01:10:16",4,90.36,"Warner, Horton and RobertsIT Services Company","972 Thomas Pike Apt. 092
Dennisport, AR 65984",Anastad,South Carolina,"40837",United States
24,KE304,14,"2026-05-29 10:41:38","2026-06-10 10:41:38","2026-05-30 10:41:38",7,410.46,Adams-RayRetail Company,"9429 Li Mountain Apt. 633
West Gregorychester, ND 27425",North Elizabeth,Washington,"67757",United States
25,MU442,5,"2025-08-04 18:54:13","2025-08-12 18:54:13","2025-08-09 18:54:13",5,130.38,"Ramirez, Rodriguez and AyalaReal Estate Company","6509 Stewart Highway Apt. 210
Alexanderstad, DC 35973",Lake Stephanie,Massachusetts,"76034",United States
