"OrderID","ProductID","UnitPrice","Quantity","Discount"
1,55,365.69,3,0.2
2,12,1829.44,10,0.15
2,76,9808.25,7,0.1
2,92,1275.78,9,0.15
3,12,1730.54,1,0.0
3,32,8123.10,15,0.15
4,17,1037.31,20,0.05
4,28,637.88,8,0.15
4,91,6586.08,11,0.05
4,95,1372.10,18,0.2
5,89,4115.12,20,0.2
6,92,1296.83,20,0.15
7,69,1965.29,16,0.2
8,4,3551.68,1,0.1
8,76,10027.60,9,0.1
9,35,5453.54,5,0.2
9,39,613.09,1,0.2
9,56,7806.50,19,0.0
9,97,1643.94,11,0.2
10,6,252.24,13,0.2
10,9,9528.57,11,0.15
10,67,5305.03,12,0.15
10,76,9967.95,4,0.2
11,21,7192.96,3,0.1
11,83,9431.40,18,0.2
12,24,7781.84,13,0.2
13,21,6728.82,8,0.2
13,25,1366.40,9,0.0
13,98,1601.30,5,0.1
14,18,5666.38,18,0.2
14,40,3869.70,15,0.15
14,47,8098.56,1,0.1
14,94,9858.96,9,0.0
15,3,3365.00,13,0.2
15,29,530.33,6,0.05
15,34,2910.54,15,0.0
15,64,926.19,8,0.15
16,97,1599.66,12,0.0
17,2,839.46,1,0.15
17,21,6983.37,9,0.0
17,43,2680.71,8,0.1
17,55,385.51,2,0.15
17,94,9656.12,3,0.05
18,47,8225.41,5,0.0
18,85,9583.25,11,0.15
19,53,7023.03,4,0.15
20,45,5377.66,1,0.0
20,55,391.58,2,0.0
20,80,8071.43,9,0.0
20,92,1213.68,17,0.2
21,27,9409.65,12,0.05
21,42,9434.69,11,0.15
21,56,8344.38,20,0.05
21,76,9861.66,7,0.0
22,67,4996.80,13,0.2
23,86,5191.94,14,0.15
23,98,1652.66,16,0.0
24,66,1863.67,1,0.2
25,46,6572.61,14,0.0
25,55,368.35,16,0.1
25,76,10014.54,16,0.15
25,84,4605.60,11,0.05
26,97,1603.06,18,0.1
27,93,6620.09,12,0.05
28,37,2986.27,15,0.15
28,59,6728.18,1,0.0
28,61,8426.25,19,0.05
28,72,9663.77,13,0.0
28,77,216.12,1,0.1
29,80,8449.49,1,0.15
30,88,5530.99,16,0.05
31,30,7985.01,1,0.1
31,72,9713.48,19,0.1
32,35,5681.25,3,0.15
32,40,3914.11,20,0.2
32,50,5168.24,13,0.1
33,14,2279.14,12,0.05
33,40,3865.79,16,0.1
34,23,5987.20,11,0.1
34,42,10062.33,14,0.15
34,69,1877.32,9,0.05
35,72,10324.21,12,0.05
35,85,10265.72,4,0.05
35,87,4098.46,13,0.2
35,94,9734.26,12,0.0
36,48,7848.68,10,0.15
36,62,5343.91,1,0.1
37,13,9403.80,2,0.2
37,57,722.92,19,0.1
37,59,6995.27,1,0.2
37,86,5096.49,13,0.1
38,3,3626.56,5,0.1
38,17,1024.48,1,0.0
38,21,6976.36,14,0.0
38,50,5032.04,19,0.1
38,96,1192.02,13,0.1
39,3,3534.01,5,0.0
39,11,1575.09,8,0.05
39,12,1724.28,6,0.0
39,55,370.42,11,0.15
39,79,8659.47,7,0.1
40,78,5257.97,2,0.15
41,4,3775.47,12,0.15
41,30,8181.54,13,0.2
41,49,7077.35,13,0.2
41,70,3618.63,4,0.2
41,95,1426.38,17,0.05
42,71,8715.00,6,0.15
42,74,1668.03,14,0.05
42,76,9537.84,18,0.05
43,42,10052.06,7,0.1
43,81,2161.83,8,0.0
44,17,976.08,12,0.15
44,21,6737.48,5,0.15
44,50,5058.70,18,0.05
44,74,1682.60,2,0.2
44,87,4267.40,6,0.0
45,35,5168.60,8,0.15
45,39,654.42,13,0.1
45,40,3963.94,10,0.15
45,41,3981.96,7,0.05
45,87,3933.98,3,0.15
46,8,3141.72,9,0.1
46,42,9846.18,16,0.15
46,54,5238.69,18,0.05
46,94,9140.30,14,0.15
46,98,1653.16,4,0.0
47,54,5280.86,9,0.0
48,14,2146.22,6,0.1
48,42,9403.57,8,0.1
48,46,6200.34,8,0.1
48,49,7614.62,14,0.15
49,29,517.44,9,0.2
49,48,7847.34,10,0.15
49,71,8584.78,5,0.2
49,98,1655.44,19,0.15
50,24,7749.15,3,0.0
50,45,5365.15,11,0.2
50,47,7957.21,20,0.15
50,64,983.64,16,0.1
50,77,211.47,3,0.15
51,4,3488.54,6,0.05
51,40,3888.59,14,0.1
51,45,5464.08,6,0.05
52,14,2221.80,2,0.2
52,65,4515.42,10,0.05
52,85,9492.32,19,0.1
53,14,2128.98,5,0.1
53,42,9227.83,12,0.05
54,3,3517.41,19,0.0
54,11,1719.94,19,0.05
54,62,5081.10,10,0.2
54,70,3701.23,8,0.05
54,83,9751.82,19,0.1
55,85,9780.38,4,0.1
56,13,9353.45,15,0.05
56,17,1008.81,20,0.2
56,25,1472.65,19,0.1
56,98,1663.01,15,0.0
57,94,9106.47,2,0.2
58,78,5041.81,19,0.05
59,3,3285.11,4,0.2
59,12,1840.18,19,0.2
59,60,4802.10,5,0.0
