:START_ID(Customer),:END_ID(Order),:TYPE
MT817,1,PLACED
UQ126,2,PLACED
LC708,3,PLACED
VO839,4,PLACED
UC855,5,PLACED
NB002,6,PLACED
GY227,7,PLACED
VW282,8,PLACED
LT787,9,PLACED
TF836,10,PLACED
UC855,11,PLACED
UD950,12,PLACED
XW166,13,PLACED
DY566,14,PLACED
CK028,15,PLACED
MX294,16,PLACED
HF081,17,PLACED
HF081,18,PLACED
PN121,19,PLACED
RG949,20,PLACED
BE531,21,PLACED
DV187,22,PLACED
DX546,23,PLACED
KE304,24,PLACED
MU442,25,PLACED
XS276,26,PLACED
XW166,27,PLACED
SO908,28,PLACED
QN420,29,PLACED
UA828,30,PLACED
CB552,31,PLACED
HF081,32,PLACED
UA828,33,PLACED
CB552,34,PLACED
EG092,35,PLACED
SO908,36,PLACED
TF836,37,PLACED
YQ009,38,PLACED
FS045,39,PLACED
ID078,40,PLACED
ZX420,41,PLACED
NZ483,42,PLACED
QO801,43,PLACED
BN567,44,PLACED
HY451,45,PLACED
TZ806,46,PLACED
UG099,47,PLACED
XS276,48,PLACED
FM680,49,PLACED
UN313,50,PLACED
DY566,51,PLACED
QN420,52,PLACED
HF081,53,PLACED
XS276,54,PLACED
GU953,55,PLACED
QC191,56,PLACED
JO498,57,PLACED
TI502,58,PLACED
IU348,59,PLACED
AI186,60,PLACED
NQ228,61,PLACED
VW282,62,PLACED
ID078,63,PLACED
LP961,64,PLACED
OI217,65,PLACED
TI502,66,PLACED
SO908,67,PLACED
JO498,68,PLACED
GV152,69,PLACED
BE531,70,PLACED
TM772,71,PLACED
OE837,72,PLACED
UV185,73,PLACED
ZP972,74,PLACED
HY451,75,PLACED
XS276,76,PLACED
ZA627,77,PLACED
RG949,78,PLACED
EG092,79,PLACED
RN037,80,PLACED
PK065,81,PLACED
MW797,82,PLACED
UA828,83,PLACED
ID078,84,PLACED
JI223,85,PLACED
ZP972,86,PLACED
ZY562,87,PLACED
PK065,88,PLACED
UD950,89,PLACED
NZ483,90,PLACED
JJ935,91,PLACED
OE837,92,PLACED
UN313,93,PLACED
QC191,94,PLACED
HY451,95,PLACED
RN037,96,PLACED
AI186,97,PLACED
UG099,98,PLACED
RN037,99,PLACED
AI186,100,PLACED
PK065,101,PLACED
PU637,102,PLACED
UD654,103,PLACED
SO908,104,PLACED
ET738,105,PLACED
OE837,106,PLACED
CB552,107,PLACED
IU348,108,PLACED
FN752,109,PLACED
NZ483,110,PLACED
GV152,111,PLACED
TR797,112,PLACED
IU348,113,PLACED
XS276,114,PLACED
AY360,115,PLACED
NN992,116,PLACED
DX546,117,PLACED
JI223,118,PLACED
UC855,119,PLACED
GH572,120,PLACED
YQ009,121,PLACED
HB552,122,PLACED
ID078,123,PLACED
GY227,124,PLACED
XW166,125,PLACED
NN992,126,PLACED
NQ228,127,PLACED
PN121,128,PLACED
FS045,129,PLACED
MW797,130,PLACED
DV187,131,PLACED
ID078,132,PLACED
QC191,133,PLACED
NB002,134,PLACED
DV187,135,PLACED
BE531,136,PLACED
VW282,137,PLACED
BE531,138,PLACED
GS970,139,PLACED
CM221,140,PLACED
LV223,141,PLACED
LV223,142,PLACED
UN313,143,PLACED
TF836,144,PLACED
TK597,145,PLACED
JO498,146,PLACED
UA828,147,PLACED
ET738,148,PLACED
UD950,149,PLACED
ZA627,150,PLACED
UC855,151,PLACED
PK065,152,PLACED
XW166,153,PLACED
AI186,154,PLACED
IU348,155,PLACED
TX494,156,PLACED
QO801,157,PLACED
WQ694,158,PLACED
OE837,159,PLACED
FS045,160,PLACED
RN037,161,PLACED
UN313,162,PLACED
NB002,163,PLACED
JJ935,164,PLACED
SO908,165,PLACED
UQ126,166,PLACED
GH572,167,PLACED
LT787,168,PLACED
TJ349,169,PLACED
AY360,170,PLACED
YQ009,171,PLACED
MT817,172,PLACED
DV187,173,PLACED
XS276,174,PLACED
TF836,175,PLACED
IU348,176,PLACED
AI186,177,PLACED
AG377,178,PLACED
TM772,179,PLACED
NQ228,180,PLACED
WT163,181,PLACED
XS276,182,PLACED
CK028,183,PLACED
JJ935,184,PLACED
ET738,185,PLACED
XD471,186,PLACED
RN037,187,PLACED
ER267,188,PLACED
TM772,189,PLACED
MT817,190,PLACED
JJ935,191,PLACED
LP961,192,PLACED
FS045,193,PLACED
ZX420,194,PLACED
LC708,195,PLACED
RN037,196,PLACED
EO425,197,PLACED
BE531,198,PLACED
DX546,199,PLACED
QN420,200,PLACED
LC708,201,PLACED
FB602,202,PLACED
AI186,203,PLACED
UQ126,204,PLACED
TK597,205,PLACED
QN420,206,PLACED
NZ483,207,PLACED
NB002,208,PLACED
OE837,209,PLACED
TP845,210,PLACED
XD471,211,PLACED
QO801,212,PLACED
ER267,213,PLACED
WT163,214,PLACED
DX546,215,PLACED
WR609,216,PLACED
XD471,217,PLACED
UV185,218,PLACED
ZA627,219,PLACED
EG092,220,PLACED
AG377,221,PLACED
UD654,222,PLACED
KT263,223,PLACED
QC191,224,PLACED
TJ349,225,PLACED
LP961,226,PLACED
QN420,227,PLACED
NB002,228,PLACED
CK028,229,PLACED
YQ009,230,PLACED
DR567,231,PLACED
NQ516,232,PLACED
OE837,233,PLACED
UA828,234,PLACED
QN420,235,PLACED
EG092,236,PLACED
UV380,237,PLACED
NB002,238,PLACED
EO425,239,PLACED
OV175,240,PLACED
UV185,241,PLACED
RN037,242,PLACED
ZA627,243,PLACED
PU637,244,PLACED
NN992,245,PLACED
CB552,246,PLACED
DY566,247,PLACED
ER267,248,PLACED
LC708,249,PLACED
JJ935,250,PLACED
PN121,251,PLACED
GH572,252,PLACED
OZ845,253,PLACED
OV175,254,PLACED
WQ694,255,PLACED
ET738,256,PLACED
WQ694,257,PLACED
RN037,258,PLACED
LC708,259,PLACED
ZP972,260,PLACED
CB552,261,PLACED
MX294,262,PLACED
HY451,263,PLACED
FS045,264,PLACED
TK597,265,PLACED
ID078,266,PLACED
US789,267,PLACED
CK028,268,PLACED
TR797,269,PLACED
FN752,270,PLACED
MX294,271,PLACED
UV380,272,PLACED
FR076,273,PLACED
GS970,274,PLACED
UN313,275,PLACED
GY227,276,PLACED
SO908,277,PLACED
TI502,278,PLACED
QN420,279,PLACED
CM221,280,PLACED
ER267,281,PLACED
CB552,282,PLACED
NB019,283,PLACED
WT163,284,PLACED
TJ349,285,PLACED
EG092,286,PLACED
FM680,287,PLACED
CM221,288,PLACED
ZP972,289,PLACED
TM772,290,PLACED
ZY562,291,PLACED
PU637,292,PLACED
CK028,293,PLACED
RN037,294,PLACED
TF836,295,PLACED
OZ845,296,PLACED
FN752,297,PLACED
MX294,298,PLACED
RG949,299,PLACED
TF836,300,PLACED
GS970,301,PLACED
LP961,302,PLACED
OE837,303,PLACED
ZY562,304,PLACED
DX546,305,PLACED
UN313,306,PLACED
VW282,307,PLACED
GH572,308,PLACED
LV223,309,PLACED
ET738,310,PLACED
WQ694,311,PLACED
PN121,312,PLACED
TJ349,313,PLACED
DY566,314,PLACED
IU348,315,PLACED
SO908,316,PLACED
BE531,317,PLACED
DV187,318,PLACED
ET738,319,PLACED
TJ349,320,PLACED
HY451,321,PLACED
PU637,322,PLACED
JO498,323,PLACED
DX546,324,PLACED
OE837,325,PLACED
EG092,326,PLACED
GS970,327,PLACED
FN752,328,PLACED
HB552,329,PLACED
WR609,330,PLACED
TZ806,331,PLACED
FR131,332,PLACED
PU637,333,PLACED
ZP972,334,PLACED
PK065,335,PLACED
NB019,336,PLACED
MU442,337,PLACED
UX720,338,PLACED
TJ349,339,PLACED
UG099,340,PLACED
RG949,341,PLACED
JO498,342,PLACED
OI217,343,PLACED
NN992,344,PLACED
EO425,345,PLACED
JJ935,346,PLACED
UA828,347,PLACED
AI186,348,PLACED
OI217,349,PLACED
HY451,350,PLACED
XS276,351,PLACED
UX720,352,PLACED
XD471,353,PLACED
LV223,354,PLACED
XD471,355,PLACED
XS276,356,PLACED
NN992,357,PLACED
ET738,358,PLACED
CK028,359,PLACED
QC191,360,PLACED
AI186,361,PLACED
TP845,362,PLACED
UD950,363,PLACED
DR567,364,PLACED
UG099,365,PLACED
GV152,366,PLACED
BE531,367,PLACED
UV185,368,PLACED
ER267,369,PLACED
LT787,370,PLACED
ID078,371,PLACED
JJ935,372,PLACED
UQ126,373,PLACED
ZA627,374,PLACED
TF836,375,PLACED
MT817,376,PLACED
OE837,377,PLACED
BE531,378,PLACED
ZY562,379,PLACED
TM772,380,PLACED
BN567,381,PLACED
TK597,382,PLACED
NZ483,383,PLACED
ID078,384,PLACED
MX294,385,PLACED
GU953,386,PLACED
FR076,387,PLACED
LT787,388,PLACED
GS970,389,PLACED
NB002,390,PLACED
JI223,391,PLACED
AY360,392,PLACED
DV187,393,PLACED
LV223,394,PLACED
XS276,395,PLACED
HB552,396,PLACED
NZ483,397,PLACED
WT163,398,PLACED
JO498,399,PLACED
JJ935,400,PLACED
PN121,401,PLACED
AG377,402,PLACED
ZP972,403,PLACED
DY566,404,PLACED
GH572,405,PLACED
ES731,406,PLACED
OV175,407,PLACED
QC191,408,PLACED
BN567,409,PLACED
FS045,410,PLACED
QO801,411,PLACED
ID078,412,PLACED
UD950,413,PLACED
RN037,414,PLACED
HB552,415,PLACED
ZX420,416,PLACED
OV175,417,PLACED
FR076,418,PLACED
CB552,419,PLACED
LV223,420,PLACED
LC708,421,PLACED
UC855,422,PLACED
DV187,423,PLACED
SO908,424,PLACED
VW282,425,PLACED
UN313,426,PLACED
WT163,427,PLACED
