:START_ID(Customer),:END_ID(Review),:TYPE
XD471,4843,WROTE
JO978,3428,WROTE
XW166,4198,WROTE
FR131,520,WROTE
JJ935,904,WROTE
UV185,685,WROTE
WQ694,788,WROTE
AY360,1184,WROTE
ZY562,2116,WROTE
EO425,3699,WROTE
QC191,4182,WROTE
GV152,168,WROTE
ET738,469,WROTE
FB602,503,WROTE
RG949,1695,WROTE
OE837,2727,WROTE
MX294,2746,WROTE
JO498,2230,WROTE
NZ483,2514,WROTE
GH572,2562,WROTE
ET738,3526,WROTE
JO978,1420,WROTE
UC855,1502,WROTE
ZA627,51,WROTE
PK065,299,WROTE
XS276,1674,WROTE
ZX420,2355,WROTE
JJ935,4804,WROTE
GV152,4432,WROTE
ER267,3119,WROTE
ID078,1873,WROTE
HB552,1971,WROTE
OV175,2152,WROTE
MW797,2180,WROTE
RG949,2711,WROTE
ID078,738,WROTE
XS276,1252,WROTE
ZA627,1434,WROTE
MU442,4723,WROTE
OZ845,2449,WROTE
BN567,2612,WROTE
DY566,3127,WROTE
HB552,3254,WROTE
XW166,3333,WROTE
ER267,3587,WROTE
LC708,3904,WROTE
LC708,80,WROTE
OV175,648,WROTE
ET738,1512,WROTE
CK028,363,WROTE
HB552,592,WROTE
QO801,1063,WROTE
PU637,1392,WROTE
ES731,3402,WROTE
UN313,3489,WROTE
TF836,3916,WROTE
TF836,4168,WROTE
FR076,4608,WROTE
PN121,427,WROTE
DR567,774,WROTE
UA828,1025,WROTE
BE531,483,WROTE
GY227,3594,WROTE
JO978,1540,WROTE
NQ516,1785,WROTE
LT787,2319,WROTE
DX546,2327,WROTE
UC855,2488,WROTE
JO498,2503,WROTE
OE837,3716,WROTE
KE304,3834,WROTE
UQ170,752,WROTE
GS970,1019,WROTE
HF081,784,WROTE
JO498,951,WROTE
ZY562,1320,WROTE
QN420,3102,WROTE
WT163,3746,WROTE
GS970,3950,WROTE
ER267,3994,WROTE
XS276,2108,WROTE
XS276,2856,WROTE
CM221,2930,WROTE
UA828,4784,WROTE
VW282,4825,WROTE
TP845,3779,WROTE
XS276,4089,WROTE
UA828,4403,WROTE
MX294,1000,WROTE
OZ845,1230,WROTE
CB552,4658,WROTE
MW797,1778,WROTE
UV185,1897,WROTE
XW166,1797,WROTE
IU348,2176,WROTE
EG092,2366,WROTE
UQ170,705,WROTE
QN420,847,WROTE
TI502,3530,WROTE
JI223,4047,WROTE
UN313,4396,WROTE
IU348,3104,WROTE
NZ483,3709,WROTE
ZY562,3768,WROTE
US789,766,WROTE
PU637,1302,WROTE
ER267,1439,WROTE
TK597,1619,WROTE
KT263,2099,WROTE
UC855,2379,WROTE
LC708,2496,WROTE
DR567,2707,WROTE
QC191,4621,WROTE
GY227,4797,WROTE
US789,4649,WROTE
UQ170,4696,WROTE
ER267,4,WROTE
NZ483,201,WROTE
TP845,731,WROTE
YQ009,2977,WROTE
DV187,4325,WROTE
FM680,2542,WROTE
UV380,1944,WROTE
XD471,2239,WROTE
GS970,2675,WROTE
EG092,4607,WROTE
RN037,4977,WROTE
TR797,3659,WROTE
CM221,4156,WROTE
FM680,4230,WROTE
UG099,1178,WROTE
EG092,1180,WROTE
XD471,1430,WROTE
UV185,4577,WROTE
CK028,3006,WROTE
GV152,3095,WROTE
QN420,3556,WROTE
UN313,4208,WROTE
LP961,1640,WROTE
TZ806,2427,WROTE
HB552,2807,WROTE
ER267,2823,WROTE
VO839,881,WROTE
LT787,956,WROTE
CK028,1399,WROTE
GS970,4228,WROTE
QC191,4870,WROTE
RG949,1743,WROTE
ZY562,1864,WROTE
DX546,2412,WROTE
WQ694,117,WROTE
TM772,521,WROTE
UD654,630,WROTE
RG949,1217,WROTE
VO839,1382,WROTE
JI223,53,WROTE
GH572,56,WROTE
MU442,1425,WROTE
GV152,1806,WROTE
FM680,2386,WROTE
DV187,3086,WROTE
CM221,3159,WROTE
OZ845,4193,WROTE
GH572,4519,WROTE
FN752,4641,WROTE
DV187,2070,WROTE
FB602,631,WROTE
UN313,1086,WROTE
TF836,3775,WROTE
UQ170,3848,WROTE
ZP972,4413,WROTE
PK065,3306,WROTE
BN567,4572,WROTE
BE531,4581,WROTE
TF836,4602,WROTE
NZ483,156,WROTE
PU637,896,WROTE
FN752,3166,WROTE
TF836,3522,WROTE
TM772,3833,WROTE
GS970,3888,WROTE
NN992,2117,WROTE
UQ126,4869,WROTE
US789,4677,WROTE
FB602,4996,WROTE
JO978,3418,WROTE
HF081,230,WROTE
FB602,959,WROTE
UX720,2352,WROTE
RN037,2639,WROTE
OZ845,3067,WROTE
MU442,3913,WROTE
PN121,3988,WROTE
NQ228,1048,WROTE
OI217,141,WROTE
WT163,744,WROTE
CK028,762,WROTE
MU442,1059,WROTE
GY227,1804,WROTE
TF836,1850,WROTE
GV152,2753,WROTE
CK028,3517,WROTE
FM680,4234,WROTE
TX494,4288,WROTE
NB002,4163,WROTE
ZA627,4341,WROTE
ID078,712,WROTE
VW282,2337,WROTE
ZA627,2550,WROTE
KE304,2632,WROTE
OV175,1816,WROTE
VO839,1823,WROTE
ES731,2380,WROTE
LV223,4037,WROTE
ET738,792,WROTE
FM680,894,WROTE
ES731,378,WROTE
TM772,492,WROTE
UA828,2660,WROTE
IU348,3427,WROTE
UN313,3817,WROTE
FS045,3892,WROTE
UX720,4081,WROTE
EG092,135,WROTE
JO978,942,WROTE
PN121,1253,WROTE
FR131,4850,WROTE
BE531,1518,WROTE
XD471,2408,WROTE
LP961,2861,WROTE
UX720,1634,WROTE
AI186,2743,WROTE
TJ349,2780,WROTE
HY451,607,WROTE
NB002,864,WROTE
SO908,1015,WROTE
DR567,1388,WROTE
DV187,3874,WROTE
TF836,3406,WROTE
GU953,3432,WROTE
AY360,4205,WROTE
NQ516,1244,WROTE
CK028,2235,WROTE
QC191,2682,WROTE
UV185,1739,WROTE
GY227,1894,WROTE
OE837,2336,WROTE
CM221,2966,WROTE
HF081,1385,WROTE
EO425,3318,WROTE
ID078,4046,WROTE
YQ009,4490,WROTE
EG092,728,WROTE
VW282,2452,WROTE
MU442,2672,WROTE
RN037,3029,WROTE
FB602,658,WROTE
UC855,1428,WROTE
TF836,4854,WROTE
FR131,476,WROTE
JJ935,930,WROTE
DY566,1372,WROTE
TM772,4335,WROTE
LT787,1596,WROTE
JO978,1721,WROTE
LT787,419,WROTE
UC855,761,WROTE
UX720,796,WROTE
HB552,1295,WROTE
ID078,4894,WROTE
TR797,3897,WROTE
WT163,4431,WROTE
AG377,1269,WROTE
ZX420,1801,WROTE
CB552,2236,WROTE
UG099,4833,WROTE
WQ694,1552,WROTE
CM221,1896,WROTE
GV152,1970,WROTE
FN752,2884,WROTE
VO839,2687,WROTE
RG949,134,WROTE
HB552,146,WROTE
MW797,585,WROTE
LC708,885,WROTE
ZX420,1332,WROTE
OZ845,3567,WROTE
NN992,4196,WROTE
JO978,3261,WROTE
ID078,3937,WROTE
FN752,3943,WROTE
FR076,4256,WROTE
PK065,144,WROTE
GV152,516,WROTE
LT787,2470,WROTE
TX494,4560,WROTE
TK597,4599,WROTE
JO498,4735,WROTE
PK065,4817,WROTE
EO425,257,WROTE
UC855,850,WROTE
NB002,2979,WROTE
TJ349,4075,WROTE
LP961,781,WROTE
JJ935,1378,WROTE
US789,1505,WROTE
LT787,106,WROTE
JO498,559,WROTE
GU953,1360,WROTE
NQ516,3213,WROTE
DV187,4223,WROTE
NN992,2031,WROTE
LT787,2196,WROTE
TK597,2950,WROTE
QC191,300,WROTE
TR797,499,WROTE
UA828,606,WROTE
NQ516,3259,WROTE
UN313,3975,WROTE
DX546,4086,WROTE
CK028,1717,WROTE
JO498,1987,WROTE
NZ483,4638,WROTE
AY360,4899,WROTE
WR609,305,WROTE
IU348,467,WROTE
UV185,1030,WROTE
MU442,490,WROTE
YQ009,1280,WROTE
VO839,1319,WROTE
HF081,2275,WROTE
UD950,2695,WROTE
UG099,1928,WROTE
UD950,1998,WROTE
UV380,2043,WROTE
WT163,2437,WROTE
ZY562,2605,WROTE
TZ806,3257,WROTE
RG949,3616,WROTE
CM221,3852,WROTE
FS045,4181,WROTE
CK028,4808,WROTE
TX494,4482,WROTE
OZ845,277,WROTE
AG377,655,WROTE
UQ170,1507,WROTE
MX294,2284,WROTE
TM772,2381,WROTE
NZ483,3947,WROTE
TX494,3507,WROTE
GH572,446,WROTE
NQ516,1562,WROTE
QN420,2082,WROTE
ZP972,2346,WROTE
UC855,3294,WROTE
WT163,1383,WROTE
KE304,868,WROTE
LC708,947,WROTE
FS045,1814,WROTE
YQ009,2204,WROTE
GH572,2397,WROTE
VW282,3200,WROTE
TJ349,3598,WROTE
GH572,3265,WROTE
IU348,3761,WROTE
OE837,4000,WROTE
UV380,4351,WROTE
DY566,341,WROTE
FS045,695,WROTE
ER267,1491,WROTE
TM772,4659,WROTE
TK597,4822,WROTE
JI223,118,WROTE
QO801,1288,WROTE
ZA627,1406,WROTE
OE837,4101,WROTE
DX546,2104,WROTE
XD471,1522,WROTE
NB019,2388,WROTE
UG099,4841,WROTE
UN313,4900,WROTE
HY451,4424,WROTE
NQ228,3593,WROTE
XW166,3755,WROTE
EG092,4087,WROTE
TK597,2028,WROTE
ZP972,2240,WROTE
TX494,2519,WROTE
OI217,2656,WROTE
WT163,218,WROTE
EO425,301,WROTE
FM680,729,WROTE
NQ228,4776,WROTE
PN121,1765,WROTE
AG377,3790,WROTE
UN313,3850,WROTE
HF081,4316,WROTE
MX294,640,WROTE
LV223,789,WROTE
UQ126,975,WROTE
FR131,908,WROTE
WR609,1387,WROTE
ID078,1633,WROTE
GH572,2334,WROTE
ER267,4980,WROTE
UV185,3542,WROTE
IU348,3853,WROTE
IU348,3528,WROTE
JO498,4045,WROTE
NQ516,1751,WROTE
FR131,2274,WROTE
UN313,584,WROTE
GH572,1483,WROTE
UD950,4466,WROTE
MT817,4479,WROTE
TR797,1555,WROTE
YQ009,2362,WROTE
UG099,3129,WROTE
WQ694,3356,WROTE
TJ349,3603,WROTE
LT787,3917,WROTE
UC855,4246,WROTE
YQ009,27,WROTE
TP845,743,WROTE
XW166,1135,WROTE
TP845,826,WROTE
NN992,2502,WROTE
PN121,2837,WROTE
GU953,4976,WROTE
EG092,2992,WROTE
UN313,3533,WROTE
PU637,3900,WROTE
UQ126,4062,WROTE
DV187,4215,WROTE
HY451,1587,WROTE
FN752,130,WROTE
DX546,489,WROTE
AG377,1461,WROTE
UG099,4787,WROTE
GV152,4688,WROTE
BN567,1524,WROTE
YQ009,2914,WROTE
ET738,3972,WROTE
UC855,3009,WROTE
FM680,1803,WROTE
ES731,2156,WROTE
XW166,368,WROTE
GH572,3042,WROTE
HY451,4497,WROTE
UG099,4733,WROTE
VO839,4791,WROTE
UX720,2094,WROTE
GS970,2243,WROTE
VW282,2881,WROTE
JO498,1708,WROTE
NQ228,2118,WROTE
UD950,2559,WROTE
FN752,2952,WROTE
PU637,3292,WROTE
UA828,3954,WROTE
XD471,248,WROTE
NQ516,1450,WROTE
PU637,4591,WROTE
TF836,4596,WROTE
AG377,4849,WROTE
KE304,3343,WROTE
ZX420,3514,WROTE
QC191,2394,WROTE
UN313,2513,WROTE
BE531,1097,WROTE
QN420,1310,WROTE
MX294,408,WROTE
CM221,1395,WROTE
PN121,3886,WROTE
TK597,4788,WROTE
OV175,4943,WROTE
XD471,1811,WROTE
JO978,1935,WROTE
ZA627,2898,WROTE
ID078,1520,WROTE
UX720,2001,WROTE
EG092,3399,WROTE
FR076,219,WROTE
MX294,4553,WROTE
GS970,4933,WROTE
EO425,4682,WROTE
MU442,2990,WROTE
DR567,4061,WROTE
CM221,1613,WROTE
UC855,104,WROTE
GH572,333,WROTE
UV380,405,WROTE
GY227,1044,WROTE
UQ126,50,WROTE
OE837,288,WROTE
AG377,328,WROTE
NN992,501,WROTE
TX494,627,WROTE
XW166,1435,WROTE
LC708,4029,WROTE
XD471,4545,WROTE
TF836,1586,WROTE
QC191,2125,WROTE
UC855,2560,WROTE
RN037,2931,WROTE
VO839,2058,WROTE
KE304,196,WROTE
PU637,4748,WROTE
PU637,1631,WROTE
EO425,2136,WROTE
MT817,3993,WROTE
JO978,647,WROTE
WT163,92,WROTE
CK028,834,WROTE
UN313,2644,WROTE
KE304,2959,WROTE
EO425,4829,WROTE
AY360,3456,WROTE
UQ170,3229,WROTE
KE304,4184,WROTE
XW166,1722,WROTE
IU348,1849,WROTE
QO801,1966,WROTE
TR797,2475,WROTE
ER267,2757,WROTE
NB019,1348,WROTE
OI217,4753,WROTE
OV175,4954,WROTE
UX720,2093,WROTE
UA828,2303,WROTE
AI186,2636,WROTE
TZ806,3464,WROTE
TI502,1196,WROTE
SO908,1238,WROTE
TZ806,1479,WROTE
BE531,895,WROTE
JO498,925,WROTE
BN567,1231,WROTE
DX546,2467,WROTE
UG099,4989,WROTE
HF081,3035,WROTE
WT163,3518,WROTE
SO908,3706,WROTE
WQ694,4260,WROTE
LV223,4327,WROTE
UC855,1867,WROTE
YQ009,1879,WROTE
PU637,1121,WROTE
TZ806,169,WROTE
FR131,983,WROTE
HY451,4249,WROTE
OV175,4493,WROTE
QO801,145,WROTE
KT263,315,WROTE
QO801,952,WROTE
TI502,1581,WROTE
NB019,3033,WROTE
LV223,4274,WROTE
IU348,4195,WROTE
OE837,81,WROTE
MX294,721,WROTE
DY566,1088,WROTE
FM680,2145,WROTE
DX546,2456,WROTE
UN313,2904,WROTE
LP961,1951,WROTE
CB552,2351,WROTE
AI186,3223,WROTE
GU953,3832,WROTE
AI186,1344,WROTE
OI217,1009,WROTE
OZ845,2241,WROTE
ER267,2431,WROTE
BN567,3171,WROTE
UV185,3228,WROTE
GU953,3509,WROTE
MU442,3862,WROTE
PN121,4386,WROTE
UN313,4449,WROTE
NQ516,4317,WROTE
ID078,365,WROTE
LV223,2069,WROTE
JO978,2960,WROTE
PK065,3071,WROTE
NN992,4347,WROTE
