:START_ID(Employee),:END_ID(Order),:TYPE
9,1,PROCESSED
4,2,PROCESSED
13,3,PROCESSED
14,4,PROCESSED
5,5,PROCESSED
16,6,PROCESSED
8,7,PROCESSED
6,8,PROCESSED
9,9,PROCESSED
19,10,PROCESSED
16,11,PROCESSED
3,12,PROCESSED
13,13,PROCESSED
19,14,PROCESSED
19,15,PROCESSED
5,16,PROCESSED
16,17,PROCESSED
10,18,PROCESSED
8,19,PROCESSED
10,20,PROCESSED
5,21,PROCESSED
19,22,PROCESSED
13,23,PROCESSED
14,24,PROCESSED
5,25,PROCESSED
5,26,PROCESSED
20,27,PROCESSED
15,28,PROCESSED
20,29,PROCESSED
1,30,PROCESSED
9,31,PROCESSED
13,32,PROCESSED
20,33,PROCESSED
8,34,PROCESSED
15,35,PROCESSED
18,36,PROCESSED
2,37,PROCESSED
20,38,PROCESSED
6,39,PROCESSED
4,40,PROCESSED
19,41,PROCESSED
2,42,PROCESSED
9,43,PROCESSED
18,44,PROCESSED
6,45,PROCESSED
20,46,PROCESSED
7,47,PROCESSED
15,48,PROCESSED
4,49,PROCESSED
5,50,PROCESSED
9,51,PROCESSED
17,52,PROCESSED
10,53,PROCESSED
12,54,PROCESSED
12,55,PROCESSED
3,56,PROCESSED
5,57,PROCESSED
3,58,PROCESSED
4,59,PROCESSED
20,60,PROCESSED
9,61,PROCESSED
12,62,PROCESSED
16,63,PROCESSED
12,64,PROCESSED
10,65,PROCESSED
19,66,PROCESSED
13,67,PROCESSED
3,68,PROCESSED
3,69,PROCESSED
6,70,PROCESSED
1,71,PROCESSED
6,72,PROCESSED
10,73,PROCESSED
1,74,PROCESSED
1,75,PROCESSED
18,76,PROCESSED
12,77,PROCESSED
17,78,PROCESSED
12,79,PROCESSED
6,80,PROCESSED
15,81,PROCESSED
20,82,PROCESSED
2,83,PROCESSED
7,84,PROCESSED
15,85,PROCESSED
2,86,PROCESSED
13,87,PROCESSED
10,88,PROCESSED
16,89,PROCESSED
20,90,PROCESSED
16,91,PROCESSED
13,92,PROCESSED
13,93,PROCESSED
8,94,PROCESSED
9,95,PROCESSED
12,96,PROCESSED
14,97,PROCESSED
9,98,PROCESSED
7,99,PROCESSED
12,100,PROCESSED
12,101,PROCESSED
13,102,PROCESSED
19,103,PROCESSED
11,104,PROCESSED
6,105,PROCESSED
2,106,PROCESSED
11,107,PROCESSED
5,108,PROCESSED
20,109,PROCESSED
14,110,PROCESSED
19,111,PROCESSED
13,112,PROCESSED
3,113,PROCESSED
12,114,PROCESSED
18,115,PROCESSED
7,116,PROCESSED
10,117,PROCESSED
7,118,PROCESSED
4,119,PROCESSED
16,120,PROCESSED
3,121,PROCESSED
12,122,PROCESSED
3,123,PROCESSED
4,124,PROCESSED
14,125,PROCESSED
8,126,PROCESSED
4,127,PROCESSED
15,128,PROCESSED
16,129,PROCESSED
11,130,PROCESSED
11,131,PROCESSED
17,132,PROCESSED
10,133,PROCESSED
8,134,PROCESSED
15,135,PROCESSED
15,136,PROCESSED
2,137,PROCESSED
15,138,PROCESSED
17,139,PROCESSED
1,140,PROCESSED
1,141,PROCESSED
20,142,PROCESSED
9,143,PROCESSED
5,144,PROCESSED
12,145,PROCESSED
1,146,PROCESSED
11,147,PROCESSED
16,148,PROCESSED
8,149,PROCESSED
8,150,PROCESSED
2,151,PROCESSED
17,152,PROCESSED
7,153,PROCESSED
7,154,PROCESSED
12,155,PROCESSED
2,156,PROCESSED
4,157,PROCESSED
1,158,PROCESSED
14,159,PROCESSED
19,160,PROCESSED
7,161,PROCESSED
11,162,PROCESSED
11,163,PROCESSED
1,164,PROCESSED
9,165,PROCESSED
14,166,PROCESSED
16,167,PROCESSED
10,168,PROCESSED
11,169,PROCESSED
13,170,PROCESSED
12,171,PROCESSED
17,172,PROCESSED
20,173,PROCESSED
13,174,PROCESSED
10,175,PROCESSED
8,176,PROCESSED
1,177,PROCESSED
15,178,PROCESSED
18,179,PROCESSED
18,180,PROCESSED
9,181,PROCESSED
20,182,PROCESSED
19,183,PROCESSED
9,184,PROCESSED
14,185,PROCESSED
8,186,PROCESSED
19,187,PROCESSED
14,188,PROCESSED
