:START_ID(Order),:END_ID(Product),:TYPE,UnitPrice,Quantity,Discount
1,55,CONTAINS,365.69,3,0.2
2,12,CONTAINS,1829.44,10,0.15
2,76,CONTAINS,9808.25,7,0.1
2,92,CONTAINS,1275.78,9,0.15
3,12,CONTAINS,1730.54,1,0.0
3,32,CONTAINS,8123.1,15,0.15
4,17,CONTAINS,1037.31,20,0.05
4,28,CONTAINS,637.88,8,0.15
4,91,CONTAINS,6586.08,11,0.05
4,95,CONTAINS,1372.1,18,0.2
5,89,CONTAINS,4115.12,20,0.2
6,92,CONTAINS,1296.83,20,0.15
7,69,CONTAINS,1965.29,16,0.2
8,4,CONTAINS,3551.68,1,0.1
8,76,CONTAINS,10027.6,9,0.1
9,35,CONTAINS,5453.54,5,0.2
9,39,CONTAINS,613.09,1,0.2
9,56,CONTAINS,7806.5,19,0.0
9,97,CONTAINS,1643.94,11,0.2
10,6,CONTAINS,252.24,13,0.2
10,9,CONTAINS,9528.57,11,0.15
10,67,CONTAINS,5305.03,12,0.15
10,76,CONTAINS,9967.95,4,0.2
11,21,CONTAINS,7192.96,3,0.1
11,83,CONTAINS,9431.4,18,0.2
12,24,CONTAINS,7781.84,13,0.2
13,21,CONTAINS,6728.82,8,0.2
13,25,CONTAINS,1366.4,9,0.0
13,98,CONTAINS,1601.3,5,0.1
14,18,CONTAINS,5666.38,18,0.2
14,40,CONTAINS,3869.7,15,0.15
14,47,CONTAINS,8098.56,1,0.1
14,94,CONTAINS,9858.96,9,0.0
15,3,CONTAINS,3365.0,13,0.2
15,29,CONTAINS,530.33,6,0.05
15,34,CONTAINS,2910.54,15,0.0
15,64,CONTAINS,926.19,8,0.15
16,97,CONTAINS,1599.66,12,0.0
17,2,CONTAINS,839.46,1,0.15
17,21,CONTAINS,6983.37,9,0.0
17,43,CONTAINS,2680.71,8,0.1
17,55,CONTAINS,385.51,2,0.15
17,94,CONTAINS,9656.12,3,0.05
18,47,CONTAINS,8225.41,5,0.0
18,85,CONTAINS,9583.25,11,0.15
19,53,CONTAINS,7023.03,4,0.15
20,45,CONTAINS,5377.66,1,0.0
20,55,CONTAINS,391.58,2,0.0
20,80,CONTAINS,8071.43,9,0.0
20,92,CONTAINS,1213.68,17,0.2
21,27,CONTAINS,9409.65,12,0.05
21,42,CONTAINS,9434.69,11,0.15
21,56,CONTAINS,8344.38,20,0.05
21,76,CONTAINS,9861.66,7,0.0
22,67,CONTAINS,4996.8,13,0.2
23,86,CONTAINS,5191.94,14,0.15
23,98,CONTAINS,1652.66,16,0.0
24,66,CONTAINS,1863.67,1,0.2
25,46,CONTAINS,6572.61,14,0.0
25,55,CONTAINS,368.35,16,0.1
25,76,CONTAINS,10014.54,16,0.15
25,84,CONTAINS,4605.6,11,0.05
26,97,CONTAINS,1603.06,18,0.1
27,93,CONTAINS,6620.09,12,0.05
28,37,CONTAINS,2986.27,15,0.15
28,59,CONTAINS,6728.18,1,0.0
28,61,CONTAINS,8426.25,19,0.05
28,72,CONTAINS,9663.77,13,0.0
28,77,CONTAINS,216.12,1,0.1
29,80,CONTAINS,8449.49,1,0.15
30,88,CONTAINS,5530.99,16,0.05
31,30,CONTAINS,7985.01,1,0.1
31,72,CONTAINS,9713.48,19,0.1
32,35,CONTAINS,5681.25,3,0.15
32,40,CONTAINS,3914.11,20,0.2
32,50,CONTAINS,5168.24,13,0.1
33,14,CONTAINS,2279.14,12,0.05
33,40,CONTAINS,3865.79,16,0.1
34,23,CONTAINS,5987.2,11,0.1
34,42,CONTAINS,10062.33,14,0.15
34,69,CONTAINS,1877.32,9,0.05
35,72,CONTAINS,10324.21,12,0.05
35,85,CONTAINS,10265.72,4,0.05
35,87,CONTAINS,4098.46,13,0.2
35,94,CONTAINS,9734.26,12,0.0
36,48,CONTAINS,7848.68,10,0.15
36,62,CONTAINS,5343.91,1,0.1
37,13,CONTAINS,9403.8,2,0.2
37,57,CONTAINS,722.92,19,0.1
37,59,CONTAINS,6995.27,1,0.2
37,86,CONTAINS,5096.49,13,0.1
38,3,CONTAINS,3626.56,5,0.1
38,17,CONTAINS,1024.48,1,0.0
38,21,CONTAINS,6976.36,14,0.0
38,50,CONTAINS,5032.04,19,0.1
38,96,CONTAINS,1192.02,13,0.1
39,3,CONTAINS,3534.01,5,0.0
39,11,CONTAINS,1575.09,8,0.05
39,12,CONTAINS,1724.28,6,0.0
39,55,CONTAINS,370.42,11,0.15
39,79,CONTAINS,8659.47,7,0.1
40,78,CONTAINS,5257.97,2,0.15
41,4,CONTAINS,3775.47,12,0.15
41,30,CONTAINS,8181.54,13,0.2
41,49,CONTAINS,7077.35,13,0.2
41,70,CONTAINS,3618.63,4,0.2
41,95,CONTAINS,1426.38,17,0.05
42,71,CONTAINS,8715.0,6,0.15
42,74,CONTAINS,1668.03,14,0.05
42,76,CONTAINS,9537.84,18,0.05
43,42,CONTAINS,10052.06,7,0.1
43,81,CONTAINS,2161.83,8,0.0
44,17,CONTAINS,976.08,12,0.15
44,21,CONTAINS,6737.48,5,0.15
44,50,CONTAINS,5058.7,18,0.05
44,74,CONTAINS,1682.6,2,0.2
44,87,CONTAINS,4267.4,6,0.0
45,35,CONTAINS,5168.6,8,0.15
45,39,CONTAINS,654.42,13,0.1
45,40,CONTAINS,3963.94,10,0.15
45,41,CONTAINS,3981.96,7,0.05
45,87,CONTAINS,3933.98,3,0.15
46,8,CONTAINS,3141.72,9,0.1
46,42,CONTAINS,9846.18,16,0.15
46,54,CONTAINS,5238.69,18,0.05
46,94,CONTAINS,9140.3,14,0.15
46,98,CONTAINS,1653.16,4,0.0
47,54,CONTAINS,5280.86,9,0.0
48,14,CONTAINS,2146.22,6,0.1
48,42,CONTAINS,9403.57,8,0.1
48,46,CONTAINS,6200.34,8,0.1
48,49,CONTAINS,7614.62,14,0.15
49,29,CONTAINS,517.44,9,0.2
49,48,CONTAINS,7847.34,10,0.15
49,71,CONTAINS,8584.78,5,0.2
49,98,CONTAINS,1655.44,19,0.15
50,24,CONTAINS,7749.15,3,0.0
50,45,CONTAINS,5365.15,11,0.2
50,47,CONTAINS,7957.21,20,0.15
50,64,CONTAINS,983.64,16,0.1
50,77,CONTAINS,211.47,3,0.15
51,4,CONTAINS,3488.54,6,0.05
51,40,CONTAINS,3888.59,14,0.1
51,45,CONTAINS,5464.08,6,0.05
52,14,CONTAINS,2221.8,2,0.2
52,65,CONTAINS,4515.42,10,0.05
52,85,CONTAINS,9492.32,19,0.1
53,14,CONTAINS,2128.98,5,0.1
53,42,CONTAINS,9227.83,12,0.05
54,3,CONTAINS,3517.41,19,0.0
54,11,CONTAINS,1719.94,19,0.05
54,62,CONTAINS,5081.1,10,0.2
54,70,CONTAINS,3701.23,8,0.05
54,83,CONTAINS,9751.82,19,0.1
55,85,CONTAINS,9780.38,4,0.1
56,13,CONTAINS,9353.45,15,0.05
56,17,CONTAINS,1008.81,20,0.2
56,25,CONTAINS,1472.65,19,0.1
56,98,CONTAINS,1663.01,15,0.0
57,94,CONTAINS,9106.47,2,0.2
58,78,CONTAINS,5041.81,19,0.05
59,3,CONTAINS,3285.11,4,0.2
59,12,CONTAINS,1840.18,19,0.2
59,60,CONTAINS,4802.1,5,0.0
59,90,CONTAINS,5429.79,14,0.0
60,17,CONTAINS,1006.98,13,0.2
60,35,CONTAINS,5688.45,9,0.1
60,36,CONTAINS,288.84,12,0.1
60,52,CONTAINS,9698.44,7,0.1
60,81,CONTAINS,2065.29,10,0.2
61,39,CONTAINS,640.52,5,0.0
61,47,CONTAINS,8383.33,17,0.05
62,2,CONTAINS,893.74,7,0.0
62,23,CONTAINS,5958.0,10,0.0
62,37,CONTAINS,2808.89,20,0.2
62,40,CONTAINS,3910.91,9,0.1
62,41,CONTAINS,3728.4,2,0.0
63,9,CONTAINS,9354.81,11,0.1
