:START_ID(Order),:END_ID(Shipper),:TYPE
1,10,SHIPPED_VIA
2,10,SHIPPED_VIA
3,2,SHIPPED_VIA
4,9,SHIPPED_VIA
5,4,SHIPPED_VIA
6,7,SHIPPED_VIA
7,7,SHIPPED_VIA
8,8,SHIPPED_VIA
9,1,SHIPPED_VIA
10,6,SHIPPED_VIA
11,10,SHIPPED_VIA
12,9,SHIPPED_VIA
13,2,SHIPPED_VIA
14,4,SHIPPED_VIA
15,9,SHIPPED_VIA
16,3,SHIPPED_VIA
17,2,SHIPPED_VIA
18,7,SHIPPED_VIA
19,4,SHIPPED_VIA
20,3,SHIPPED_VIA
21,3,SHIPPED_VIA
22,3,SHIPPED_VIA
23,4,SHIPPED_VIA
24,7,SHIPPED_VIA
25,5,SHIPPED_VIA
26,1,SHIPPED_VIA
27,5,SHIPPED_VIA
28,1,SHIPPED_VIA
29,9,SHIPPED_VIA
30,5,SHIPPED_VIA
31,3,SHIPPED_VIA
32,8,SHIPPED_VIA
33,4,SHIPPED_VIA
34,10,SHIPPED_VIA
35,2,SHIPPED_VIA
36,7,SHIPPED_VIA
37,8,SHIPPED_VIA
38,2,SHIPPED_VIA
39,9,SHIPPED_VIA
40,3,SHIPPED_VIA
41,6,SHIPPED_VIA
42,2,SHIPPED_VIA
43,5,SHIPPED_VIA
44,4,SHIPPED_VIA
45,8,SHIPPED_VIA
46,4,SHIPPED_VIA
47,7,SHIPPED_VIA
48,3,SHIPPED_VIA
49,4,SHIPPED_VIA
50,9,SHIPPED_VIA
51,5,SHIPPED_VIA
52,3,SHIPPED_VIA
53,8,SHIPPED_VIA
54,5,SHIPPED_VIA
55,10,SHIPPED_VIA
56,1,SHIPPED_VIA
57,4,SHIPPED_VIA
58,8,SHIPPED_VIA
59,9,SHIPPED_VIA
60,1,SHIPPED_VIA
61,7,SHIPPED_VIA
62,7,SHIPPED_VIA
63,8,SHIPPED_VIA
64,3,SHIPPED_VIA
65,9,SHIPPED_VIA
66,4,SHIPPED_VIA
67,6,SHIPPED_VIA
68,10,SHIPPED_VIA
69,4,SHIPPED_VIA
70,9,SHIPPED_VIA
71,7,SHIPPED_VIA
72,8,SHIPPED_VIA
73,7,SHIPPED_VIA
74,2,SHIPPED_VIA
75,8,SHIPPED_VIA
76,9,SHIPPED_VIA
77,3,SHIPPED_VIA
78,6,SHIPPED_VIA
79,3,SHIPPED_VIA
80,8,SHIPPED_VIA
81,7,SHIPPED_VIA
82,7,SHIPPED_VIA
83,9,SHIPPED_VIA
84,7,SHIPPED_VIA
