:START_ID(Product),:END_ID(Category),:TYPE
15,1,BELONGS_TO
27,1,BELONGS_TO
40,1,BELONGS_TO
49,1,BELONGS_TO
55,1,BELONGS_TO
68,1,BELONGS_TO
77,1,BELONGS_TO
87,1,BELONGS_TO
90,1,BELONGS_TO
92,1,BELONGS_TO
8,2,BELONGS_TO
38,2,BELONGS_TO
43,2,BELONGS_TO
52,2,BELONGS_TO
53,2,BELONGS_TO
61,2,BELONGS_TO
66,2,BELONGS_TO
71,2,BELONGS_TO
93,2,BELONGS_TO
95,2,BELONGS_TO
11,3,BELONGS_TO
33,3,BELONGS_TO
44,3,BELONGS_TO
51,3,BELONGS_TO
58,3,BELONGS_TO
85,3,BELONGS_TO
97,3,BELONGS_TO
7,4,BELONGS_TO
23,4,BELONGS_TO
42,4,BELONGS_TO
50,4,BELONGS_TO
60,4,BELONGS_TO
63,4,BELONGS_TO
67,4,BELONGS_TO
75,4,BELONGS_TO
82,4,BELONGS_TO
84,4,BELONGS_TO
25,5,BELONGS_TO
47,5,BELONGS_TO
65,5,BELONGS_TO
73,5,BELONGS_TO
78,5,BELONGS_TO
79,5,BELONGS_TO
1,6,BELONGS_TO
14,6,BELONGS_TO
18,6,BELONGS_TO
30,6,BELONGS_TO
46,6,BELONGS_TO
64,6,BELONGS_TO
6,7,BELONGS_TO
31,7,BELONGS_TO
39,7,BELONGS_TO
45,7,BELONGS_TO
57,7,BELONGS_TO
59,7,BELONGS_TO
70,7,BELONGS_TO
98,7,BELONGS_TO
5,8,BELONGS_TO
13,8,BELONGS_TO
28,8,BELONGS_TO
37,8,BELONGS_TO
76,8,BELONGS_TO
91,8,BELONGS_TO
96,8,BELONGS_TO
21,9,BELONGS_TO
24,9,BELONGS_TO
36,9,BELONGS_TO
94,9,BELONGS_TO
26,10,BELONGS_TO
35,10,BELONGS_TO
48,10,BELONGS_TO
69,10,BELONGS_TO
81,10,BELONGS_TO
100,10,BELONGS_TO
16,11,BELONGS_TO
29,11,BELONGS_TO
72,11,BELONGS_TO
86,11,BELONGS_TO
9,12,BELONGS_TO
17,12,BELONGS_TO
19,12,BELONGS_TO
56,12,BELONGS_TO
80,12,BELONGS_TO
83,12,BELONGS_TO
10,13,BELONGS_TO
22,13,BELONGS_TO
34,13,BELONGS_TO
62,13,BELONGS_TO
74,13,BELONGS_TO
88,13,BELONGS_TO
4,14,BELONGS_TO
12,14,BELONGS_TO
20,14,BELONGS_TO
32,14,BELONGS_TO
41,14,BELONGS_TO
54,14,BELONGS_TO
89,14,BELONGS_TO
99,14,BELONGS_TO
2,15,BELONGS_TO
3,15,BELONGS_TO
