:START_ID(Product),:END_ID(Supplier),:TYPE
15,13,SUPPLIED_BY
27,15,SUPPLIED_BY
40,14,SUPPLIED_BY
49,6,SUPPLIED_BY
55,8,SUPPLIED_BY
68,11,SUPPLIED_BY
77,10,SUPPLIED_BY
87,10,SUPPLIED_BY
90,12,SUPPLIED_BY
92,14,SUPPLIED_BY
8,11,SUPPLIED_BY
38,6,SUPPLIED_BY
43,15,SUPPLIED_BY
52,12,SUPPLIED_BY
53,2,SUPPLIED_BY
61,9,SUPPLIED_BY
66,3,SUPPLIED_BY
71,3,SUPPLIED_BY
93,6,SUPPLIED_BY
95,2,SUPPLIED_BY
11,4,SUPPLIED_BY
33,11,SUPPLIED_BY
44,8,SUPPLIED_BY
51,2,SUPPLIED_BY
58,9,SUPPLIED_BY
85,12,SUPPLIED_BY
97,13,SUPPLIED_BY
7,3,SUPPLIED_BY
23,5,SUPPLIED_BY
42,2,SUPPLIED_BY
50,15,SUPPLIED_BY
60,12,SUPPLIED_BY
63,11,SUPPLIED_BY
67,11,SUPPLIED_BY
75,15,SUPPLIED_BY
82,3,SUPPLIED_BY
84,13,SUPPLIED_BY
25,4,SUPPLIED_BY
47,11,SUPPLIED_BY
65,8,SUPPLIED_BY
73,11,SUPPLIED_BY
78,9,SUPPLIED_BY
79,10,SUPPLIED_BY
1,7,SUPPLIED_BY
14,5,SUPPLIED_BY
18,11,SUPPLIED_BY
30,6,SUPPLIED_BY
46,10,SUPPLIED_BY
64,2,SUPPLIED_BY
6,6,SUPPLIED_BY
31,14,SUPPLIED_BY
39,13,SUPPLIED_BY
45,15,SUPPLIED_BY
57,13,SUPPLIED_BY
59,10,SUPPLIED_BY
70,8,SUPPLIED_BY
98,10,SUPPLIED_BY
5,14,SUPPLIED_BY
13,2,SUPPLIED_BY
28,4,SUPPLIED_BY
37,2,SUPPLIED_BY
76,11,SUPPLIED_BY
91,10,SUPPLIED_BY
96,1,SUPPLIED_BY
21,7,SUPPLIED_BY
24,10,SUPPLIED_BY
36,11,SUPPLIED_BY
94,6,SUPPLIED_BY
26,7,SUPPLIED_BY
35,14,SUPPLIED_BY
48,4,SUPPLIED_BY
69,8,SUPPLIED_BY
81,1,SUPPLIED_BY
100,15,SUPPLIED_BY
16,15,SUPPLIED_BY
29,8,SUPPLIED_BY
72,14,SUPPLIED_BY
86,10,SUPPLIED_BY
9,7,SUPPLIED_BY
17,8,SUPPLIED_BY
19,12,SUPPLIED_BY
56,5,SUPPLIED_BY
80,10,SUPPLIED_BY
83,6,SUPPLIED_BY
10,3,SUPPLIED_BY
22,2,SUPPLIED_BY
34,11,SUPPLIED_BY
62,15,SUPPLIED_BY
74,9,SUPPLIED_BY
88,4,SUPPLIED_BY
4,9,SUPPLIED_BY
12,8,SUPPLIED_BY
20,11,SUPPLIED_BY
32,5,SUPPLIED_BY
41,12,SUPPLIED_BY
54,9,SUPPLIED_BY
89,10,SUPPLIED_BY
99,9,SUPPLIED_BY
2,4,SUPPLIED_BY
3,11,SUPPLIED_BY
