:START_ID(Review),:END_ID(Product),:TYPE
4843,96,ABOUT
3428,79,ABOUT
4198,95,ABOUT
520,96,ABOUT
904,46,ABOUT
685,54,ABOUT
788,34,ABOUT
1184,29,ABOUT
2116,30,ABOUT
3699,85,ABOUT
4182,52,ABOUT
168,87,ABOUT
469,48,ABOUT
503,43,ABOUT
1695,4,ABOUT
2727,91,ABOUT
2746,52,ABOUT
2230,37,ABOUT
2514,23,ABOUT
2562,28,ABOUT
3526,40,ABOUT
1420,82,ABOUT
1502,58,ABOUT
51,35,ABOUT
299,13,ABOUT
1674,12,ABOUT
2355,90,ABOUT
4804,88,ABOUT
4432,93,ABOUT
3119,1,ABOUT
1873,34,ABOUT
1971,100,ABOUT
2152,84,ABOUT
2180,89,ABOUT
2711,68,ABOUT
738,61,ABOUT
1252,71,ABOUT
1434,56,ABOUT
4723,13,ABOUT
2449,32,ABOUT
2612,99,ABOUT
3127,62,ABOUT
3254,44,ABOUT
3333,23,ABOUT
3587,22,ABOUT
3904,27,ABOUT
80,2,ABOUT
648,85,ABOUT
1512,49,ABOUT
363,66,ABOUT
592,71,ABOUT
1063,86,ABOUT
1392,97,ABOUT
3402,63,ABOUT
3489,31,ABOUT
3916,65,ABOUT
4168,100,ABOUT
4608,10,ABOUT
427,63,ABOUT
774,2,ABOUT
1025,36,ABOUT
483,60,ABOUT
3594,49,ABOUT
1540,88,ABOUT
1785,18,ABOUT
2319,61,ABOUT
2327,83,ABOUT
2488,89,ABOUT
2503,31,ABOUT
3716,7,ABOUT
3834,97,ABOUT
752,14,ABOUT
1019,75,ABOUT
784,40,ABOUT
951,47,ABOUT
1320,100,ABOUT
3102,16,ABOUT
3746,35,ABOUT
3950,38,ABOUT
3994,35,ABOUT
2108,11,ABOUT
2856,99,ABOUT
2930,22,ABOUT
4784,30,ABOUT
4825,52,ABOUT
3779,82,ABOUT
4089,52,ABOUT
4403,27,ABOUT
1000,77,ABOUT
1230,88,ABOUT
4658,6,ABOUT
1778,5,ABOUT
1897,89,ABOUT
1797,45,ABOUT
2176,1,ABOUT
2366,38,ABOUT
705,6,ABOUT
847,34,ABOUT
3530,92,ABOUT
4047,86,ABOUT
4396,44,ABOUT
3104,24,ABOUT
3709,9,ABOUT
3768,39,ABOUT
766,54,ABOUT
1302,86,ABOUT
1439,21,ABOUT
1619,69,ABOUT
2099,7,ABOUT
2379,64,ABOUT
2496,57,ABOUT
2707,26,ABOUT
4621,70,ABOUT
4797,37,ABOUT
4649,29,ABOUT
4696,8,ABOUT
4,27,ABOUT
201,2,ABOUT
731,55,ABOUT
2977,55,ABOUT
4325,46,ABOUT
2542,68,ABOUT
1944,13,ABOUT
2239,82,ABOUT
2675,4,ABOUT
4607,6,ABOUT
4977,34,ABOUT
3659,57,ABOUT
4156,40,ABOUT
4230,46,ABOUT
1178,32,ABOUT
1180,28,ABOUT
1430,54,ABOUT
4577,79,ABOUT
3006,42,ABOUT
3095,91,ABOUT
3556,37,ABOUT
4208,69,ABOUT
1640,5,ABOUT
2427,52,ABOUT
2807,33,ABOUT
2823,50,ABOUT
881,83,ABOUT
956,85,ABOUT
1399,98,ABOUT
4228,52,ABOUT
4870,24,ABOUT
1743,91,ABOUT
1864,96,ABOUT
2412,54,ABOUT
117,96,ABOUT
521,78,ABOUT
630,96,ABOUT
1217,11,ABOUT
1382,9,ABOUT
53,88,ABOUT
56,81,ABOUT
1425,40,ABOUT
1806,22,ABOUT
2386,57,ABOUT
3086,21,ABOUT
3159,93,ABOUT
4193,3,ABOUT
4519,89,ABOUT
4641,25,ABOUT
2070,67,ABOUT
631,86,ABOUT
1086,19,ABOUT
3775,77,ABOUT
3848,100,ABOUT
4413,82,ABOUT
3306,9,ABOUT
4572,23,ABOUT
4581,15,ABOUT
4602,30,ABOUT
156,36,ABOUT
896,96,ABOUT
3166,17,ABOUT
3522,31,ABOUT
3833,62,ABOUT
3888,71,ABOUT
2117,78,ABOUT
4869,35,ABOUT
4677,22,ABOUT
4996,34,ABOUT
3418,76,ABOUT
230,9,ABOUT
959,66,ABOUT
2352,98,ABOUT
2639,15,ABOUT
3067,38,ABOUT
3913,46,ABOUT
3988,19,ABOUT
1048,4,ABOUT
141,60,ABOUT
744,72,ABOUT
762,3,ABOUT
1059,12,ABOUT
1804,77,ABOUT
1850,13,ABOUT
2753,15,ABOUT
3517,55,ABOUT
4234,72,ABOUT
4288,41,ABOUT
4163,88,ABOUT
4341,77,ABOUT
712,36,ABOUT
2337,9,ABOUT
2550,94,ABOUT
2632,32,ABOUT
1816,6,ABOUT
1823,6,ABOUT
2380,6,ABOUT
4037,76,ABOUT
792,6,ABOUT
894,97,ABOUT
378,95,ABOUT
492,83,ABOUT
2660,37,ABOUT
3427,2,ABOUT
3817,58,ABOUT
3892,99,ABOUT
4081,71,ABOUT
135,48,ABOUT
942,58,ABOUT
1253,81,ABOUT
4850,75,ABOUT
1518,47,ABOUT
2408,5,ABOUT
2861,98,ABOUT
1634,3,ABOUT
2743,30,ABOUT
2780,19,ABOUT
607,61,ABOUT
864,14,ABOUT
1015,60,ABOUT
1388,32,ABOUT
3874,19,ABOUT
3406,99,ABOUT
3432,77,ABOUT
4205,33,ABOUT
1244,56,ABOUT
2235,70,ABOUT
2682,79,ABOUT
1739,57,ABOUT
1894,98,ABOUT
2336,100,ABOUT
2966,83,ABOUT
1385,51,ABOUT
3318,35,ABOUT
4046,92,ABOUT
4490,15,ABOUT
728,85,ABOUT
2452,30,ABOUT
2672,27,ABOUT
3029,78,ABOUT
658,89,ABOUT
1428,46,ABOUT
4854,78,ABOUT
476,84,ABOUT
930,26,ABOUT
1372,35,ABOUT
4335,48,ABOUT
1596,85,ABOUT
1721,72,ABOUT
419,96,ABOUT
761,51,ABOUT
796,55,ABOUT
1295,31,ABOUT
4894,92,ABOUT
3897,76,ABOUT
4431,58,ABOUT
1269,46,ABOUT
1801,55,ABOUT
2236,42,ABOUT
4833,22,ABOUT
1552,54,ABOUT
1896,71,ABOUT
1970,8,ABOUT
2884,58,ABOUT
2687,71,ABOUT
134,75,ABOUT
146,46,ABOUT
585,28,ABOUT
885,72,ABOUT
1332,98,ABOUT
3567,75,ABOUT
4196,40,ABOUT
3261,23,ABOUT
3937,72,ABOUT
3943,62,ABOUT
4256,94,ABOUT
144,67,ABOUT
516,72,ABOUT
2470,3,ABOUT
4560,35,ABOUT
4599,42,ABOUT
4735,71,ABOUT
4817,12,ABOUT
257,23,ABOUT
850,1,ABOUT
2979,40,ABOUT
4075,79,ABOUT
781,43,ABOUT
1378,38,ABOUT
1505,54,ABOUT
106,89,ABOUT
559,97,ABOUT
1360,32,ABOUT
3213,50,ABOUT
4223,58,ABOUT
